reaction   FLUX    DeltaG
SMALO                 0.00000                 7.80000
SPMDabc                 0.00000               -25.09258
SPMDAT1                 0.00000               -44.82450
SPMDAT2                 0.00000               -44.82450
SQLS                 0.00000              -160.61096
SSALy                 0.00000                -3.62388
SUCBZS                 0.00000               -24.64000
SUCD1                 0.00000                40.12450
SUCpts_f                 0.00000               -47.32450
SUCR                 0.00000               -33.12258
TAGO                 0.02297                -1.50000
TALA_f                 0.00000                 7.51292
TGBPA_f                 0.00000                35.41158
THDPS                 0.00000                -2.32258
THIORDXi                 0.00000              -325.84191
THMabc                 0.00001               -60.71708
THRAr_f                 0.00000                19.25034
THRD                 0.00000                11.88737
THRD_L                 0.00441                -2.36258
TKT1_f                 0.00000                 1.50000
TKT2_f                 0.00000                 1.50000
TMDPP_f                 0.00000               -29.48708
TMDS                 0.02469               -72.17354
TMPPP                 0.00000               -23.33742
TPI_f                 0.00000                 1.50000
TRDR                 0.04377                -3.24904
TRE6PH                 0.00000                17.60191
TREpts_f                 0.00000               -48.72450
TRPS1                 0.00000               -79.50191
TRPS2                 0.00187               -77.90191
TRPS3r                 0.00187                -1.50000
TRSARr_f                 0.00000               -17.78737
TYRTA_f                 0.00000                 3.90065
UAAGDS                 0.00000               -14.10000
UAG2E_f                 0.01046                -1.50000
UAG4E_f                 0.02823                -1.50000
UAMAGS                 0.00000               -56.82514
UAMAS                 0.00000               -17.50000
UAPGR                 0.05858               -86.17354
UDALDL                 0.00000               -10.60000
UDCPDPpp                 0.00000               -27.62258
UDCPDPS                 0.00000              -468.27483
UDNDMx_f                 0.00000               -78.38909
UDPDPS                 0.00000               -27.31292
UDPG4E_f                 0.00000                 1.30000
UGLT_f                 0.00000                24.12450
UGMDDS                 0.00000               -19.90000
UMPK_f                 2.02774               -71.94899
UPPDC1                 0.00033               -86.27483
UPPDC2_f                 0.00000               -50.65034
UPPRTr_f                 0.00000                 1.50000
URCN_f                 0.00000                24.06000
UREA                 0.00000               -20.28517
URIDK2r                 0.00000               -35.02450
VALTA_f                 0.00000                 5.20065
XPPT                 0.00000                -8.73742
XTSNH                 0.00000               -11.72258
XYLOD_f                 0.00000                -6.11263
ZNabc                 0.00000               -60.71708
GLULOD_b                 0.00000               -59.99935
GTHP_b                 0.00000               312.25483
DRBK_b                 0.00000               -18.98708
HPROzr_b                 0.00000               -38.10000
ASAD_b                 0.00000                 1.83612
MTHFR3_b                 0.00507              -108.24708
METB1r_b                 0.00000                72.93690
PUNP1_b                 0.00001                27.92450
NNATr_b                 0.00000                52.96191
PRPPS_b                 0.00000                22.82450
OCBT_b                 1.54451               -50.61158
BGLK_b                 0.00000                27.82258
SHSL1r_b                 0.00000               -26.04708
CYTK11_b                 0.00000                -1.50000
PYNP1_b                 0.00000                18.32450
PUNP2_b                 0.00000                61.81158
PUNP4_b                 0.01974                -1.50000
FOLR2_b                 0.00000               -31.57354
PUNP6_b                 0.00001                26.88708
DURIPP_b                 0.02469                -1.50000
PUNP5_b                 0.00000                27.42450
PUNP7_b                 0.00000                23.82450
AMID2r_b                 0.00000                 5.62258
NADDPp_b                 0.00000                58.54708
TAHL_b                 0.00000                -5.07742
UAG2EMA_b                 0.00000                45.12641
LASP2OA_b                 0.00000               -68.84899
FF_31_b                 0.00000                70.28737
NP1_b                 0.00000               -20.40000
PSCVT_b                 0.00000                16.60000
PNP_b                 0.00000                39.82450
UAGPT2_b                 0.00000                28.50383
3A2OA_b                 0.00000                35.62385
3M2OBLOXRD_b                 0.00000                69.52450
3M2OPLOXRD_b                 0.00000                69.52450
3MTDC_b                 0.00000               254.83742
4M2OPLOXRD_b                 0.00000                70.72450
4MCO2D_b                 0.00000               249.83742
4OT_b                 0.00000                -0.00045
ACACT1r_b                 0.00000                45.94899
ACACT2r_b                 0.00000                 5.22450
ACACT7r_b                 0.00000                 4.82450
ACGApts_b                 0.00000                -0.30000
ACNMLr_b                 0.00000               -14.61292
ACOADH2_b                 0.00000               317.21742
ACOTA_b                 0.53266                -1.50000
ACTD2_b                 0.00000                 1.50000
ADAPAT_b                 0.00000                41.52385
ADK1_b                 0.00000                35.77450
ADKd_b                 0.00000               -68.94899
ADSL1_b                 0.00000                 1.50000
ADSL2r_b                 0.00000               -77.14899
AGDC_r_b                 0.00000                10.12532
AGPR_b                 0.53266                -1.50000
AICART_b                 0.00000                 5.96450
ALAALAr_b                 0.00000                14.90000
ALATA_D_b                 2.85411                -3.17615
ALCD1_b                 0.00000               -18.48737
ALCD19_b                 0.00000                11.53713
ALCD2x_b                 0.00000                -9.47029
ALDD31_b                 0.00000                59.47263
AMANAPEr_b                 0.00000                33.52450
AMAOTr_b                 0.00000                 0.58271
AMPEP10_b                 0.00000               -21.20191
AMPEP13_b                 0.00000               -58.82641
AOXSr_b                 0.00000                24.78708
APAT_b                 0.00000                22.98450
ARABR_b                 0.00000               -42.67354
